name,x,y
Svartfjelljøkelen,70.2363638035772,21.9806878249794
Langfjordjøkelen,68.1053090423794,17.9898495368277
Blåisen,67.2909805764818,16.0960127166037
Storsteinsfjellbreen,66.8541730619988,13.9800877090406
Cainhavarre,66.7320948395102,14.045595162282
Rundvassbreen,66.707238134453,14.0172230039175
Glombreen,66.6540633019715,14.0982573312964
Tretten-null-to-breen ,66.686262170551,13.8368848784065
Storglombreen nord,66.686262170551,13.8368848784065
Kjølbreen,66.5558431742083,13.7900674004107
Engabreen,66.4141199043237,13.6015292798639
Svartisheibreen,66.7220556513166,14.4202840410959
Høgtuvbreen,66.0110687882737,14.3389738217371
Trollbergdalsbreen,61.5519646634347,8.52296074497733
Charles Rabot-breen,61.7399722006184,5.6735711927294
Austre Okstindbreen,61.7429807515964,5.69840187635228
Ålfotbreen,61.4136583129864,6.56143941432863
Hansebreen,61.7189936418827,7.19494555533582
Vetlefjordbreen,61.6723345362099,7.02066876374007
Nigardsbreen,61.5437738810062,6.82149507858133
Tunsbergdalsbreen,61.7747180137637,6.89216782952357
Supphellebreen,61.8370033045829,7.34874505865639
Vesledalsbreen,61.7258099447643,7.69115919624681
Austdalsbreen,61.6035233022926,7.48450477830031
Harbardsbreen,61.6754241768386,8.3532959355869
Spørteggbreen,61.5902861136152,8.31381001861486
Juvfonne,62.0896196682611,8.07764435662394
Tverråbrean,61.6504309969714,8.57297756306764
Storbreen,61.5511749317713,8.45579815969028
Gråsubreen,61.5519646634347,8.52296074497733
Hellstugubreen,61.5386777757925,8.57733384567665
Austre Memurubre,61.5510611628054,8.43493530982453
Blåbrean,60.6511838476524,7.48521967896104
Vestre Memurubre,60.5548217188693,7.46893740663451
Omnsbreen,60.5519641916776,7.40317550476121
Midtdalsbreen,60.1472580224289,6.49203673335009
Rembesdalskåka,62.2955558783934,6.57930100472318
Midtre Folgefonna,60.0924862378379,6.41051359975114
Blåbreen,65.7351854343399,14.3083910073969
Gråfjellsbrea,60.2840966014784,6.50784769358363
Breidablikkbrea,60.2446046358611,6.48043302308617
Ruklebreen,60.0738358163946,6.44607956532815
Bondhusbrea,60.0548708644007,6.32876620661356
Svelgjabreen,60.0164685371325,6.32655736219712
Møsevassbrea,60.0185609041972,6.29764575366875
Blomstølskardsbreen,59.9609590893297,6.38573464996582
